Timestamp,Task ID (check with supervisor),Participant ID,Trial 1 [Object 1],Trial 1 [Object 2],Trial 1 [Object 3],Trial 1 [Object 4],Trial 1 [Object 5],Trial 2 [Object 1],Trial 2 [Object 2],Trial 2 [Object 3],Trial 2 [Object 4],Trial 2 [Object 5],Trial 3 [Object 1],Trial 3 [Object 2],Trial 3 [Object 3],Trial 3 [Object 4],Trial 3 [Object 5],The robot was a good learner,The robot perceived accurately what my goals were.,I trusted the robot to place the objects in an appropriate order,The robot copied my demonstrations,The robot learned multiple valid orderings for completing the task.,The robot only copied me,How would you rate the robot's learning performance,Open-ended Comments
,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2020 8:44:44,Test A,10000,Dinner Plate,Fork,Spoon,Small Plate,None,Spoon,Dinner Plate,Small Plate,Fork,None,Spoon,Dinner Plate,Fork,Small Plate,None,2,1,4,3,5,,6,
1/15/2020 9:20:52,Test B,10000,Dinner Plate,Fork,Spoon,Small Plate,Bowl,Fork,Spoon,Dinner Plate,Small Plate,Bowl,Fork,Dinner Plate,Small Plate,Bowl,Spoon,5,5,5,4,3,,9,
1/15/2020 19:12:20,A,1,Knife,Fork,Dinner Plate,Small Plate,Bowl,Fork,Knife,Dinner Plate,Small Plate,Bowl,Knife,Dinner Plate,Fork,Small Plate,Bowl,5,5,4,2,4,,9,
1/15/2020 20:08:16,B,1,Dinner Plate,Knife,Small Plate,Fork,Bowl,Dinner Plate,Knife,Small Plate,Fork,Bowl,Dinner Plate,Knife,Small Plate,Fork,Bowl,5,4,5,5,1,,3,
1/15/2020 20:34:10,C,1,Knife,Dinner Plate,Small Plate,Fork,Bowl,Knife,Dinner Plate,Small Plate,Fork,Bowl,Dinner Plate,Knife,Fork,Small Plate,Bowl,4,5,4,1,3,,8,
1/16/2020 8:44:38,B,2,Dinner Plate,Fork,Small Plate,Bowl,Knife,Dinner Plate,Small Plate,Bowl,Fork,Knife,Dinner Plate,Fork,Small Plate,Knife,Bowl,4,5,5,5,5,,10,
1/16/2020 9:10:25,C,2,Fork,Dinner Plate,Knife,Small Plate,Bowl,Fork,Dinner Plate,Knife,Small Plate,Bowl,Dinner Plate,Fork,Knife,Small Plate,Bowl,5,5,5,5,4,,8,
1/16/2020 9:46:23,A,2,Dinner Plate,Knife,Fork,Small Plate,Bowl,Dinner Plate,Fork,Knife,Small Plate,Bowl,Dinner Plate,Fork,Knife,Small Plate,Bowl,4,5,5,5,4,,8,
1/16/2020 11:04:49,C,3,Dinner Plate,Fork,Small Plate,Bowl,Knife,Dinner Plate,Small Plate,Bowl,Knife,Fork,Dinner Plate,Fork,Small Plate,Bowl,Knife,5,5,5,3,4,,9,
1/16/2020 11:41:56,A,3,Dinner Plate,Fork,Knife,Small Plate,Bowl,Dinner Plate,Fork,Small Plate,Knife,Bowl,Knife,Fork,Dinner Plate,Small Plate,Bowl,5,5,5,3,5,,10,
1/16/2020 12:18:38,B,3,Dinner Plate,Knife,Small Plate,Bowl,Fork,Dinner Plate,Knife,Fork,Small Plate,Bowl,Dinner Plate,Knife,Fork,Small Plate,Bowl,5,5,5,4,5,,10,
1/16/2020 14:22:04,A,4,Dinner Plate,Small Plate,Fork,Bowl,Knife,Dinner Plate,Small Plate,Bowl,Fork,Knife,Dinner Plate,Fork,Small Plate,Bowl,Knife,5,5,4,3,5,,9,
1/16/2020 14:57:59,B,4,Dinner Plate,Small Plate,Bowl,Fork,Knife,Dinner Plate,Small Plate,Bowl,Fork,Knife,Dinner Plate,Small Plate,Bowl,Fork,Knife,4,4,4,5,1,,8,
1/16/2020 15:20:35,C,4,Dinner Plate,Knife,Small Plate,Bowl,Fork,Knife,Dinner Plate,Fork,Small Plate,Bowl,Knife,Fork,Dinner Plate,Small Plate,Bowl,5,5,5,4,4,,10,
